,property_type,society,sector,price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,area_bedroom_ratio
3209,house,independent,sector 28,0.75,20833,360,Plot area 40(33.45 sq.m.),7,4,3+,4,,Moderately Old,,360,,0,0,0,0,0,1,7,51.42857143
3396,house,ashok vihar phase iii extension,sector 3,0.4,8889,450,Plot area 50(41.81 sq.m.),7,4,3+,4,,New Property,,450,,0,0,0,1,0,1,7,64.28571429
3398,house,ansal,sector 43,1.85,34259,540,Plot area 60(5.57 sq.m.),8,8,3+,5,North-West,Relatively New,,60,,0,0,0,0,0,1,53,67.5
3446,house,independent,sector 105,0.6,11111,540,Plot area 60(50.17 sq.m.),8,4,3,3,West,New Property,,540,,0,0,0,0,0,1,17,67.5
3224,house,independent,sector 6,0.5,13889,360,Plot area 40(33.45 sq.m.),5,3,3,3,,Old Property,,360,,0,0,0,0,0,1,0,72
3172,house,independent,sector 17,0.32,22069,145,Built Up area: 145 (13.47 sq.m.),2,2,0,3,,Undefined,,145,,0,0,0,0,0,1,0,72.5
3108,house,independent,sector 8,0.49,11239,436,Plot area 360(33.45 sq.m.),6,3,2,3,East,Moderately Old,,360,,0,0,0,0,0,1,8,72.66666667
3767,house,sector 38 rwa,sector 38,1.4,23932,585,Plot area 65(54.35 sq.m.)Built Up area: 62 sq.yards (51.84 sq.m.)Carpet area: 60 sq.yards (50.17 sq.m.),8,8,3,4,East,Moderately Old,,62,60,0,0,0,0,1,0,40,73.125
3077,house,independent,sector 3,0.5,11111,450,Plot area 450(41.81 sq.m.),5,3,3,3,,Moderately Old,,450,,0,0,0,0,0,1,0,90
3105,house,rajendra park gurgaon,sector 105,0.37,10278,360,Plot area 360(33.45 sq.m.),4,3,2,3,East,Relatively New,,360,,0,0,0,0,0,1,0,90
3118,house,independent,sector 28,0.45,10000,450,Built Up area: 50 (4.65 sq.m.),5,3,0,1,,Undefined,,50,,0,0,0,0,0,1,0,90
3121,house,independent,sector 9,0.42,9333,450,Built Up area: 450 (41.81 sq.m.),5,3,2,2,,Undefined,,450,,0,0,0,0,0,1,0,90
3154,house,not applicable,sector 4,0.51,14167,360,Plot area 40(33.45 sq.m.),4,4,3,4,,New Property,,360,,0,0,0,0,0,1,0,90
3203,house,rk excelo,sector 12,0.6,13333,450,Plot area 50(4.65 sq.m.)Built Up area: 30 sq.ft. (2.79 sq.m.)Carpet area: 15 sq.ft. (1.39 sq.m.),5,3,2,3,North,Moderately Old,,30,15,0,0,0,0,1,1,0,90
3368,house,ss omnia,sector 86,0.42,9333,450,Plot area 50(4.65 sq.m.),5,3,2,3,,Relatively New,,50,,0,0,0,0,0,1,0,90
3278,house,jacobpura,sector 12,0.53,14601,363,Plot area 360(33.45 sq.m.),4,4,2,3,East,Relatively New,,360,,0,0,0,0,0,1,0,90.75
3178,house,independent,sector 104,0.45,12162,370,Plot area 370(34.37 sq.m.)Carpet area: 1500 sq.ft. (139.35 sq.m.),4,4,2,4,North,Moderately Old,,,1500,0,0,0,0,0,0,7,92.5
3333,house,rattan garden,sector 7,0.83,17585,472,Carpet area: 472 (43.85 sq.m.),5,3,2,3,East,Undefined,,,472,0,0,0,0,0,1,0,94.4
3130,house,independent,sector 4,0.5,10482,477,Built Up area: 53 (44.31 sq.m.),5,3,0,1,,Undefined,,53,,0,0,0,0,0,1,0,95.4
3389,house,independent,sector 7,0.89,18658,477,Plot area 477(44.31 sq.m.),5,3,2,2,East,Old Property,,477,,0,0,0,0,0,1,8,95.4
3222,house,ganpati heights apartment,sector 13,1.25,12077,1035,Plot area 115(7692.86 sq.m.),10,6,2,3,South-East,Old Property,,115,,0,0,0,0,1,1,7,103.5
3424,house,independent,sohna road,0.95,8920,1065,Plot area 1065(98.94 sq.m.),10,10,3+,3,,New Property,,1065,,0,0,0,0,0,1,0,106.5
3252,house,independent,sector 4,0.5,9259,540,Plot area 540(50.17 sq.m.),5,3,2,3,West,Old Property,,540,,0,0,0,0,0,1,0,108
3226,house,housing board colony,sector 28,2.1,23333,900,Plot area 100(83.61 sq.m.),8,8,3+,4,South-East,Moderately Old,,900,,0,0,0,0,1,0,38,112.5
3422,house,independent,sector 7,0.27,12000,225,Plot area 225(20.9 sq.m.),2,2,1,2,North-East,Moderately Old,,225,,0,0,0,0,0,1,12,112.5
3300,house,independent,sector 17,0.32,5664,565,Built Up area: 565 (52.49 sq.m.),5,1,0,1,,Undefined,,565,,0,0,0,0,0,1,0,113
3362,house,independent,sector 6,0.75,10519,713,Plot area 713(66.24 sq.m.),6,4,1,3,,Moderately Old,,713,,0,0,0,0,0,1,62,118.8333333
3195,house,surendra homes dayaindependentd colony,sector 6,0.75,15625,480,Built Up area: 480 (44.59 sq.m.),4,4,2,1,,Undefined,,480,,0,0,0,0,0,1,0,120
3335,house,independent,sector 2,0.98,9074,1080,Carpet area: 120 (100.34 sq.m.),9,4,3,1,South,Undefined,,,120,0,0,0,0,0,1,0,120
3386,house,rattan vihar rajendra park,sector 9,0.85,14167,600,Plot area 600(55.74 sq.m.),5,5,3+,4,,New Property,,600,,0,0,0,0,0,1,0,120
3150,house,"bhim nagar, sector 6",sector 6,0.85,14096,603,Plot area 67(6.22 sq.m.),5,2,2,1,,Old Property,,67,,0,0,0,1,0,1,29,120.6
3139,house,independent,sector 21,0.6,6173,972,Plot area 108(90.3 sq.m.),8,3,2,3,,Old Property,,972,,0,0,0,0,0,1,0,121.5
